dim,birth,death
0,0,0.0032204
0,0,0.00324278
0,0,0.00326244
0,0,0.00327707
0,0,0.00331263
0,0,0.00332179
0,0,0.00333205
0,0,0.00333821
0,0,0.00334047
0,0,0.0033452
0,0,0.00334618
0,0,0.00335848
0,0,0.00335869
0,0,0.00336762
0,0,0.003378
0,0,0.00338528
0,0,0.00338631
0,0,0.0033966
0,0,0.00341774
0,0,0.00342152
0,0,0.00343868
0,0,0.00344572
0,0,0.0034559
0,0,0.00345624
0,0,0.00346106
0,0,0.00346163
0,0,0.00346277
0,0,0.00346318
0,0,0.00346372
0,0,0.00346382
0,0,0.00346724
0,0,0.00347186
0,0,0.00348876
0,0,0.00349397
0,0,0.00350157
0,0,0.00350651
0,0,0.00350691
0,0,0.0035094
0,0,0.00351688
0,0,0.00352014
0,0,0.00352443
0,0,0.00353065
0,0,0.00354609
0,0,0.00354901
0,0,0.00355345
0,0,0.00355828
0,0,0.00355918
0,0,0.00355984
0,0,0.00355986
0,0,0.00356789
0,0,0.00357738
0,0,0.00357895
0,0,0.00358201
0,0,0.00358223
0,0,0.00358282
0,0,0.00359337
0,0,0.00359532
0,0,0.00359655
0,0,0.00359672
0,0,0.00359772
0,0,0.00360391
0,0,0.00360453
0,0,0.00360821
0,0,0.0036156
0,0,0.00361628
0,0,0.00362895
0,0,0.00362904
0,0,0.00362946
0,0,0.00363529
0,0,0.00363602
0,0,0.00363711
0,0,0.00363804
0,0,0.00363807
0,0,0.00364109
0,0,0.00364227
0,0,0.00364712
0,0,0.00364779
0,0,0.00365549
0,0,0.00365599
0,0,0.00366211
0,0,0.00366422
0,0,0.00366614
0,0,0.00367114
0,0,0.00367403
0,0,0.00367743
0,0,0.00367781
0,0,0.00367817
0,0,0.00367848
0,0,0.00368983
0,0,0.0036901
0,0,0.00369156
0,0,0.00369388
0,0,0.00369713
0,0,0.00369754
0,0,0.00369757
0,0,0.00370976
0,0,0.00371039
0,0,0.00371275
0,0,0.00371374
0,0,0.00371884
0,0,0.00371888
0,0,0.00372008
0,0,0.0037267
0,0,0.00372908
0,0,0.00372921
0,0,0.00372966
0,0,0.00373547
0,0,0.00373553
0,0,0.00373558
0,0,0.00373779
0,0,0.00373959
0,0,0.00374064
0,0,0.00374709
0,0,0.00374801
